time,word,status
2025-01-29 17:32:16.890045,три,1
2025-01-29 17:32:25.582974,два,1
2025-01-29 17:32:33.816422,четыре,1
2025-01-29 17:32:43.296592,один,1
2025-01-29 17:32:51.860822,пять сот,1
2025-01-29 17:33:00.580034,три,1
2025-01-29 17:33:09.179122,четыре,1
2025-01-29 17:33:17.722980,пять сот,1
2025-01-29 17:34:06.950283,два,1
2025-01-29 17:34:15.803512,один,1
2025-01-29 17:34:24.840749,пять сот,1
2025-01-29 17:34:33.851311,три,1
2025-01-29 17:34:45.917142,один,1
2025-01-29 17:34:55.097763,два,1
2025-01-29 17:35:04.207813,четыре,1
2025-01-29 17:35:13.151887,четыре,1
2025-01-29 17:35:22.191764,один,1
2025-01-29 17:35:31.687653,два,1
2025-01-29 17:35:40.498089,пять сот,1
2025-01-29 17:35:49.475926,три,1
2025-01-29 17:35:58.492159,пять сот,1
2025-01-29 17:36:07.575090,два,1
